"COUNTRY","ISO3","WHO_REGION","DATE_UPDATED","VACCINES_USED","NUMBER_VACCINES_TYPES_USED","Protection against ORIGINAL Var- SEVERE, % average","Protection against ORIGINAL Var- INFECTION, % average","Protection against LATEST var BA1.n SEVERE, % average","Protection against LATEST var BA1.n INFECTION, % average","TOTAL Population","Population Vaccinated","% Population vaccinated","% People Protected for ORGINAL SEVERE","% People Protected for ORGINAL INFECTION","% People Protected for OMICRON SEVERE","% People Protected for OMICRON INFECTION","% SUCEPTIBLE for  BREAKTHROUGH  ORGINAL SEVERE","% SUCEPTIBLE for  BREAKTHROUGH ORIGINAL  INFECTION","% SUCEPTIBLE for  BREAKTHROUGH OMICRON SEVERE","% SUCEPTIBLE for  BREAKTHROUGH OMICRON INFECTION","% Population NOT VACCINATED"
"Aruba","ABW","AMRO","2022-12-16 00:00:00","Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty","2","91","79","65","39","106459","90243","84.767844898036","77.14","66.97","55.10","33.06","7.63","17.80","29.67","51.71","15.23"
"Australia","AUS","WPRO","2022-11-23 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty","5","74","63","55","32","26177410","22236698","84.946134854441","62.86","53.52","46.72","27.18","22.09","31.43","38.23","57.76","15.05"
"Austria","AUT","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001","10","66","58","49","30","8939617","6895915","77.13881925814","50.91","44.74","37.80","23.14","26.23","32.40","39.34","54.00","22.86"
"Azerbaijan","AZE","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","5","85","74","63","38","10358078","5373253","51.875000362036","44.09","38.39","32.68","19.71","7.78","13.49","19.19","32.16","48.12"
"Bahamas","BHS","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","4","92","71","68","37","409989","174147","42.476017649254","39.08","30.16","28.88","15.72","3.40","12.32","13.59","26.76","57.52"
"Bahrain","BHR","EMRO","2022-12-21 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","11","83","73","61","38","1472237","1241174","84.305312256111","69.97","61.54","51.43","32.04","14.33","22.76","32.88","52.27","15.69"
"Bangladesh","BGD","SEARO","2022-12-20 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","8","85","72","63","38","171186368","150956628","88.182622111592","74.96","63.49","55.56","33.51","13.23","24.69","32.63","54.67","11.82"
"Barbados","BRB","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","5","88","70","65","37","281646","163833","58.169830212394","51.19","40.72","37.81","21.52","6.98","17.45","20.36","36.65","41.83"
"Belarus","BLR","EURO","2022-12-04 00:00:00","Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light","4","64","60","47","31","9534956","6527591","68.459581774683","43.81","41.08","32.18","21.22","24.65","27.38","36.28","47.24","31.54"
"Belgium","BEL","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","4","93","78","68","40","11655923","9265134","79.488634233428","73.92","62.00","54.05","31.80","5.56","17.49","25.44","47.69","20.51"
"Belize","BLZ","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","5","88","70","65","37","405285","251890","62.151325610373","54.69","43.51","40.40","23.00","7.46","18.65","21.75","39.16","37.85"
"Benin","BEN","AFRO","2022-12-18 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","5","84","66","62","35","13352864","3697190","27.688367079901","23.26","18.27","17.17","9.69","4.43","9.41","10.52","18.00","72.31"
"Bermuda","BMU","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","3","95","80","72","43","64207","48554","75.621038204557","71.84","60.50","54.45","32.52","3.78","15.12","21.17","43.10","24.38"
"Bhutan","BTN","SEARO","2022-10-30 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","5","91","74","68","40","782457","699116","89.348807666108","81.31","66.12","60.76","35.74","8.04","23.23","28.59","53.61","10.65"
"Bolivia (Plurinational State of)","BOL","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","7","90","76","66","39","12224114","7361008","60.217108577358","54.20","45.77","39.74","23.48","6.02","14.45","20.47","36.73","39.78"
"Bonaire","XAA","AMRO","2022-12-16 00:00:00","Moderna, Pfizer/BioNTech","2","96","89","73","48","27052","19109","70.638030459855","67.81","62.87","51.57","33.91","2.83","7.77","19.07","36.73","29.36"
"Bonaire, Sint Eustatius and Saba","BES","AMRO","2021-09-01 00:00:00","Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty","2","96","89","73","46","27052","19109","70.638030459855","67.81","62.87","51.57","32.49","2.83","7.77","19.07","38.14","29.36"
"Bosnia and Herzegovina","BIH","EURO","2022-01-29 00:00:00","AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V","4","83","71","62","37","3233530","943394","29.1753594369","24.22","20.71","18.09","10.79","4.96","8.46","11.09","18.38","70.82"
"Botswana","BWA","AFRO","2022-12-18 00:00:00","Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","6","83","72","61","37","2630300","1691984","64.326654754211","53.39","46.32","39.24","23.80","10.94","18.01","25.09","40.53","35.67"
"Brazil","BRA","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","5","84","66","62","35","215313504","189087256","87.819506202454","73.77","57.96","54.45","30.74","14.05","29.86","33.37","57.08","12.18"
"British Virgin Islands","VGB","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S","2","90","68","64","35","31332","19466","62.12817566705","55.92","42.25","39.76","21.74","6.21","19.88","22.37","40.38","37.87"
"Brunei Darussalam","BRN","WPRO","2022-11-25 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","5","89","76","65","39","449002","450788","100.3977710567","89.35","76.30","65.26","39.16","11.04","24.10","35.14","61.24","-0.40"
"Bulgaria","BGR","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","4","93","78","68","40","6781955","2106111","31.054629527916","28.88","24.22","21.12","12.42","2.17","6.83","9.94","18.63","68.95"
"Burkina Faso","BFA","AFRO","2022-11-27 00:00:00","Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield","3","84","68","60","35","22673764","4366726","19.258937333916","16.18","13.10","11.56","6.74","3.08","6.16","7.70","12.52","80.74"
"Burundi","BDI","AFRO","2022-12-18 00:00:00","Beijing CNBG - BBIBP-CorV","1","73","68","53","35","12889583","31292","0.24276968463604","0.18","0.17","0.13","0.08","0.07","0.08","0.11","0.16","99.76"
"Cabo Verde","CPV","AFRO","2022-09-25 00:00:00","Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","4","90","77","67","41","593162","356734","60.141074445093","54.13","46.31","40.29","24.66","6.01","13.83","19.85","35.48","39.86"
"Cambodia","KHM","WPRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","7","84","70","62","37","16767851","15254468","90.974496374043","76.42","63.68","56.40","33.66","14.56","27.29","34.57","57.31","9.03"
"Cameroon","CMR","AFRO","2022-12-18 00:00:00","Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","4","87","72","63","37","27914542","3666816","13.135863020787","11.43","9.46","8.28","4.86","1.71","3.68","4.86","8.28","86.86"
"Canada","CAN","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","5","93","75","69","39","38454328","34763194","90.401252103534","84.07","67.80","62.38","35.26","6.33","22.60","28.02","55.14","9.60"
"Cayman Islands","CYM","AMRO","2022-12-16 00:00:00","Pfizer BioNTech - Comirnaty","1","95","86","72","44","68722","61859","90.013387270452","85.51","77.41","64.81","39.61","4.50","12.60","25.20","50.41","9.99"
"Central African Republic","CAF","AFRO","2022-12-18 00:00:00","Bharat - Covaxin,SII - Covishield","2","86","68","64","37","5579148","2252721","40.377509254101","34.72","27.46","25.84","14.94","5.65","12.92","14.54","25.44","59.62"
"Chad","TCD","AFRO","2022-12-11 00:00:00","Beijing CNBG - BBIBP-CorV","1","73","68","53","35","17723312","6208632","35.030879104312","25.57","23.82","18.57","12.26","9.46","11.21","16.46","22.77","64.97"
"Chile","CHL","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","5","80","70","60","37","19603736","18087979","92.268019728484","73.81","64.59","55.36","34.14","18.45","27.68","36.91","58.13","7.73"
"China","CHN","WPRO","2022-11-29 00:00:00","Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated","8","36","33","26","17","1425887360","1310267000","91.891339860113","33.08","30.32","23.89","15.62","58.81","61.57","68.00","76.27","8.11"
"Colombia","COL","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","5","84","72","62","37","51874028","42959468","82.814984022448","69.56","59.63","51.35","30.64","13.25","23.19","31.47","52.17","17.19"
"Comoros","COM","AFRO","2022-10-02 00:00:00","Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield","3","82","68","60","36","836783","438825","52.441911463307","43.00","35.66","31.47","18.88","9.44","16.78","20.98","33.56","47.56"
"Congo","COG","AFRO","2022-07-31 00:00:00","Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield","4","89","77","66","41","5970430","695760","11.65343199736","10.37","8.97","7.69","4.78","1.28","2.68","3.96","6.88","88.35"
"Cook Islands","COK","WPRO","2022-05-10 00:00:00","Pfizer BioNTech - Comirnaty","1","95","86","72","44","17032","15084","88.562705495538","84.13","76.16","63.77","38.97","4.43","12.40","24.80","49.60","11.44"
"Costa Rica","CRI","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","3","95","80","72","43","5180836","4605172","88.888588637046","84.44","71.11","64.00","38.22","4.44","17.78","24.89","50.67","11.11"
"CÃ´te dâ€™Ivoire","CIV","AFRO","2022-12-18 00:00:00","Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","5","88","75","64","38","28160548","13388664","47.544046372961","41.84","35.66","30.43","18.07","5.71","11.89","17.12","29.48","52.46"
"Croatia","HRV","EURO","2022-10-23 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine","6","62","52","46","27","4030361","2321052","57.589183698433","35.71","29.95","26.49","15.55","21.88","27.64","31.10","42.04","42.41"
"Cuba","CUB","AMRO","2022-12-16 00:00:00","CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02","3","0","0","0","0","11212198","10725175","95.65631109975","0.00","0.00","0.00","0.00","95.66","95.66","95.66","95.66","4.34"
"CuraÃ§ao","CUW","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","3","95","80","72","43","191173","108601","56.807708201472","53.97","45.45","40.90","24.43","2.84","11.36","15.91","32.38","43.19"
"Cyprus","CYP","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty","5","74","63","55","32","896007","670969","74.884348001746","55.41","47.18","41.19","23.96","19.47","27.71","33.70","50.92","25.12"
"Czechia","CZE","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5","7","80","69","60","36","10493990","6977754","66.492859246102","53.19","45.88","39.90","23.94","13.30","20.61","26.60","42.56","33.51"
"Democratic Republic of the Congo","COD","AFRO","2022-12-11 00:00:00","SII - Covishield","1","94","63","71","36","5970430","695760","11.65343199736","10.95","7.34","8.27","4.20","0.70","4.31","3.38","7.46","88.35"
"Denmark","DNK","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine","5","74","63","55","32","5882259","4790321","81.436757545018","60.26","51.31","44.79","26.06","21.17","30.13","36.65","55.38","18.56"
"Djibouti","DJI","EMRO","2022-12-07 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","11","83","73","61","38","1120851","317428","28.320267368276","23.51","20.67","17.28","10.76","4.81","7.65","11.04","17.56","71.68"
"Dominica","DMA","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","5","91","74","68","40","72758","32995","45.348965062261","41.27","33.56","30.84","18.14","4.08","11.79","14.51","27.21","54.65"
"Dominican Republic","DOM","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac","3","79","58","60","32","11228821","7305984","65.064569111931","51.40","37.74","39.04","20.82","13.66","27.33","26.03","44.24","34.94"
"Ecuador","ECU","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","4","76","65","57","34","18001002","15325894","85.139116144757","64.71","55.34","48.53","28.95","20.43","29.80","36.61","56.19","14.86"
"Egypt","EGY","EMRO","2022-12-18 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","10","82","74","60","38","110990096","53850471","48.518266891129","39.78","35.90","29.11","18.44","8.73","12.61","19.41","30.08","51.48"
"El Salvador","SLV","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","6","84","70","63","37","6336393","4652597","73.426585125007","61.68","51.40","46.26","27.17","11.75","22.03","27.17","46.26","26.57"
"Equatorial Guinea","GNQ","AFRO","2022-07-24 00:00:00","Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac","2","62","58","45","30","1674916","270109","16.126719190694","10.00","9.35","7.26","4.84","6.13","6.77","8.87","11.29","83.87"
"Eritrea","ERI","AFRO","2022-07-03 00:00:00","","","","","","","3684041","","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00"
"Estonia","EST","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5","8","82","72","61","37","1326064","868944","65.528058977546","53.73","47.18","39.97","24.25","11.80","18.35","25.56","41.28","34.47"
"Eswatini","SWZ","AFRO","2022-12-11 00:00:00","Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","3","92","74","67","38","1201680","507582","42.239364889155","38.86","31.26","28.30","16.05","3.38","10.98","13.94","26.19","57.76"
"Ethiopia","ETH","AFRO","2022-07-31 00:00:00","Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield","4","83","69","60","36","123379928","43111242","34.941860235159","29.00","24.11","20.97","12.58","5.94","10.83","13.98","22.36","65.06"
"Falkland Islands (Malvinas)","FLK","AMRO","2022-06-21 00:00:00","AstraZeneca - AZD1222","1","94","63","71","36","3801","2632","69.244935543278","65.09","43.62","49.16","24.93","4.15","25.62","20.08","44.32","30.76"
"Faroe Islands","FRO","EURO","2022-02-18 00:00:00","Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty","2","96","89","73","46","53117","41715","78.534179264642","75.39","69.90","57.33","36.13","3.14","8.64","21.20","42.41","21.47"
"Fiji","FJI","WPRO","2022-11-03 00:00:00","AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield","3","95","73","72","40","3801","2632","69.244935543278","65.78","50.55","49.86","27.70","3.46","18.70","19.39","41.55","30.76"
"Finland","FIN","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine","5","74","63","55","32","5540745","4524351","81.656004743044","60.43","51.44","44.91","26.13","21.23","30.21","36.75","55.53","18.34"
"France","FRA","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine","6","62","52","46","27","67813000","54649808","80.588984413018","49.97","41.91","37.07","21.76","30.62","38.68","43.52","58.83","19.41"
"French Guiana","GUF","AMRO","2022-12-16 00:00:00","Moderna - Spikevax,Pfizer BioNTech - Comirnaty","2","96","89","73","46","13859349","6087292","43.921918699067","42.17","39.09","32.06","20.20","1.76","4.83","11.86","23.72","56.08"
"French Polynesia","PYF","WPRO","2022-09-30 00:00:00","Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty","2","91","79","65","39","306292","190908","62.32875817847","56.72","49.24","40.51","24.31","5.61","13.09","21.82","38.02","37.67"
"Gabon","GAB","AFRO","2022-11-27 00:00:00","Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty","3","87","80","64","41","2388997","311040","13.019689853106","11.33","10.42","8.33","5.34","1.69","2.60","4.69","7.68","86.98"
"Gambia","GMB","AFRO","2022-11-13 00:00:00","Beijing CNBG - BBIBP-CorV,SII - Covishield","2","84","66","62","36","2705995","548701","20.27723628462","17.03","13.38","12.57","7.30","3.24","6.89","7.71","12.98","79.72"
"Georgia","GEO","EURO","2022-11-27 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","4","78","66","58","35","3744385","1654504","44.186268238976","34.47","29.16","25.63","15.47","9.72","15.02","18.56","28.72","55.81"
"Germany","DEU","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron  - Generic,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - Generic,Unknown Vaccine,Valneva - VLA2001","9","63","55","46","28","83369840","64870211","77.810166122425","49.02","42.80","35.79","21.79","28.79","35.01","42.02","56.02","22.19"
"Ghana","GHA","AFRO","2022-12-11 00:00:00","Gamaleya - Gam-Covid-Vac,SII - Covishield","2","93","75","69","40","33475870","12853113","38.395157467155","35.71","28.80","26.49","15.36","2.69","9.60","11.90","23.04","61.60"
"Gibraltar","GIB","EURO","2022-12-16 00:00:00","AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty","2","95","75","72","40","32677","42175","129.06631575726","122.61","96.80","92.93","51.63","6.45","32.27","36.14","77.44","-29.07"
"Greece","GRC","EURO","2022-12-11 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5","7","80","69","60","36","10384972","7933490","76.393946945644","61.12","52.71","45.84","27.50","15.28","23.68","30.56","48.89","23.61"
"Greenland","GRL","EURO","2022-03-14 00:00:00","Moderna - mRNA-1273","1","97","92","73","48","56494","41227","72.975891245088","70.79","67.14","53.27","35.03","2.19","5.84","19.70","37.95","27.02"
"Grenada","GRD","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","5","93","75","69","39","125459","44180","35.214691652253","32.75","26.41","24.30","13.73","2.47","8.80","10.92","21.48","64.79"
"Guadeloupe","GLP","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty","7","53","45","39","23","171783","","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00"
"Guam","GUM","WPRO","2022-08-23 00:00:00","Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","3","93","83","67","42","171783","","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00"
"Guatemala","GTM","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield","5","94","78","71","42","17843914","8893019","49.837827059691","46.85","38.87","35.38","20.93","2.99","10.96","14.45","28.91","50.16"
"Guernsey","GGY","EURO","2022-12-19 00:00:00","Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty","3","95","80","72","43","63329","54223","85.621121445152","81.34","68.50","61.65","36.82","4.28","17.12","23.97","48.80","14.38"
"Guinea","GIN","AFRO","2022-12-04 00:00:00","Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","6","82","70","60","36","13859349","6087292","43.921918699067","36.02","30.75","26.35","15.81","7.91","13.18","17.57","28.11","56.08"
