"COUNTRY","ISO3","WHO_REGION","DATE_UPDATED","VACCINES_USED","NUMBER_VACCINES_TYPES_USED","Protection against ORIGINAL Var- SEVERE, % average","Protection against ORIGINAL Var- INFECTION, % average","Protection against LATEST var BA1.n SEVERE, % average","Protection against LATEST var BA1.n INFECTION, % average","TOTAL Population","Population Vaccinated","% Population vaccinated","% People Protected for ORGINAL SEVERE","% People Protected for ORGINAL INFECTION","% People Protected for OMICRON SEVERE","% People Protected for OMICRON INFECTION","% SUCEPTIBLE for  BREAKTHROUGH  ORGINAL SEVERE","% SUCEPTIBLE for  BREAKTHROUGH ORIGINAL  INFECTION","% SUCEPTIBLE for  BREAKTHROUGH OMICRON SEVERE","% SUCEPTIBLE for  BREAKTHROUGH OMICRON INFECTION","% Population NOT VACCINATED"
"Switzerland","CHE","EURO","2022-12-11 00:00:00","Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna â€“ Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1","6","78","71","58","36","8740471","6095843","69.742728967352","54.40","49.52","40.45","25.11","15.34","20.23","29.29","44.64","30.26"
"Syrian Arab Republic","SYR","EMRO","2022-12-20 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","11","83","73","61","38","22125242","3209797","14.507398382354","12.04","10.59","8.85","5.51","2.47","3.92","5.66","8.99","85.49"
"Tajikistan","TJK","EURO","2022-12-04 00:00:00","AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","6","87","73","65","39","9952789","5311967","53.371642863121","46.43","38.96","34.69","20.81","6.94","14.41","18.68","32.56","46.63"
"Thailand","THA","SEARO","2022-11-11 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac","8","85","69","63","37","71697024","57005497","79.508874733769","67.58","54.86","50.09","29.42","11.93","24.65","29.42","50.09","20.49"
"The United Kingdom","GBR","EURO","2022-09-11 00:00:00","AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","3","95","80","72","43","67508936","53813491","79.713137531897","75.73","63.77","57.39","34.28","3.99","15.94","22.32","45.44","20.29"
"Timor-Leste","TLS","SEARO","2022-12-21 00:00:00","AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","4","83","65","63","35","1341298","882547","65.797980761919","54.61","42.77","41.45","23.03","11.19","23.03","24.35","42.77","34.20"
"Togo","TGO","AFRO","2022-12-18 00:00:00","SII - Covishield","1","94","63","71","36","8848700","2244456","25.364810650152","23.84","15.98","18.01","9.13","1.52","9.38","7.36","16.23","74.64"
"Tokelau","TKL","WPRO","2022-11-23 00:00:00","Pfizer BioNTech - Comirnaty","1","95","86","72","44","1893","2203","116.37612255679","110.56","100.08","83.79","51.21","5.82","16.29","32.59","65.17","-16.38"
"Tonga","TON","WPRO","2022-11-29 00:00:00","AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty","2","95","75","72","40","106867","91949","86.040592512188","81.74","64.53","61.95","34.42","4.30","21.51","24.09","51.62","13.96"
"Trinidad and Tobago","TTO","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield","5","88","70","65","37","1531043","753588","49.220564020736","43.31","34.45","31.99","18.21","5.91","14.77","17.23","31.01","50.78"
